dst,cid,dci,next,pattern,Label
33,33,5,29,33,0
0,0,0,0,0,0
0,0,0,0,0,0
5,5,5,1,5,0
4,4,0,4,4,0
28,28,4,24,28,0
36,36,19,36,36,0
22,22,9,19,22,0
14,14,1,14,14,0
0,0,0,0,0,0
2,2,2,2,2,0
14,14,8,10,14,0
54,54,8,54,54,0
31,31,0,31,31,0
3,3,1,2,3,0
16,16,2,14,16,0
22,22,1,22,22,0
3,3,3,3,3,0
15,15,15,12,15,0
10,10,10,6,10,0
11,11,11,7,11,0
29,29,0,29,29,0
4,4,1,3,4,0
26,26,0,26,26,0
29,29,0,29,29,0
0,0,0,0,0,0
0,0,0,0,0,0
31,31,0,31,31,0
13,13,2,13,13,0
27,27,11,24,27,0
30,30,1,30,30,0
14,14,0,14,14,0
9,9,0,9,9,0
13,13,11,10,13,0
7,7,7,3,7,0
13,13,10,13,13,0
12,12,0,12,12,0
18,18,13,14,18,0
1,1,1,1,1,0
0,0,0,0,0,0
7,7,7,4,7,0
0,0,0,0,0,0
3,3,0,3,3,0
13,13,2,13,13,0
21,21,6,17,21,0
23,23,18,20,23,0
23,23,0,23,23,0
30,30,0,30,30,0
30,30,1,30,30,0
8,8,6,5,8,0
32,32,3,29,32,0
20,20,6,15,20,0
18,18,11,18,18,0
22,22,0,22,22,0
6,6,0,6,6,0
12,12,12,8,12,0
4,4,4,4,4,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,2,2,2,2,0
20,20,20,12,20,0
11,11,11,10,11,0
2,2,2,2,2,0
9,9,9,5,9,0
13,13,13,10,13,0
4,4,4,1,4,0
2,2,2,1,2,0
15,15,15,12,15,0
0,0,0,0,0,0
0,0,0,0,0,0
13,13,13,7,13,0
3,3,3,1,3,0
11,11,8,11,11,0
5,5,1,4,5,0
22,22,0,22,22,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
9,9,5,5,9,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,0,1,0
0,0,0,0,0,0
4,4,4,1,4,0
10,10,10,7,10,0
10,10,5,6,10,0
18,18,0,18,18,0
6,6,0,6,6,0
0,0,0,0,0,0
9,9,9,5,9,0
2,2,2,2,2,0
12,12,12,8,12,0
2,2,2,2,2,0
8,8,8,4,8,0
5,5,5,5,5,0
0,0,0,0,0,0
1,1,1,1,1,0
13,13,13,9,13,0
9,9,9,5,9,0
0,0,0,0,0,0
5,5,0,5,5,0
29,29,5,24,29,0
16,16,12,12,16,0
20,20,1,20,20,0
24,24,18,16,24,0
15,15,15,15,15,0
1,1,1,1,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
11,11,11,7,11,0
0,0,0,0,0,0
2,2,0,2,2,0
12,12,3,9,12,0
10,10,5,10,10,0
0,0,0,0,0,0
0,0,0,0,0,0
2,2,2,0,2,0
9,9,9,4,9,0
4,4,4,4,4,0
9,9,9,5,9,0
1,1,1,1,1,0
1,1,1,0,1,0
5,5,0,5,5,0
32,32,5,28,32,0
23,23,0,23,23,0
3,3,0,3,3,0
0,0,0,0,0,0
7,7,5,2,7,0
20,20,8,20,20,0
14,14,9,11,14,0
4,4,4,4,4,0
29,29,0,29,29,0
29,29,0,29,29,0
2,2,0,2,2,0
11,11,1,10,11,0
36,36,0,36,36,0
1,1,0,1,1,0
4,4,4,1,4,0
29,29,0,29,29,0
0,0,0,0,0,0
1,1,1,1,1,0
18,18,18,14,18,0
1,1,1,1,1,0
0,0,0,0,0,0
5,5,5,1,5,0
4,4,0,4,4,0
26,26,1,25,26,0
10,10,10,8,10,0
1,1,0,1,1,0
26,26,9,22,26,0
24,24,19,20,24,0
43,43,5,39,43,0
18,18,3,15,18,0
1,1,1,0,1,0
11,11,11,10,11,0
1,1,1,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,0,1,1,0
28,28,0,28,28,0
17,17,17,13,17,0
10,10,10,4,10,0
11,11,11,11,11,0
0,0,0,0,0,0
2,2,0,2,2,0
29,29,0,29,29,0
27,27,0,27,27,0
2,2,0,2,2,0
25,25,0,25,25,0
20,20,7,17,20,0
33,33,8,25,33,0
15,15,14,11,15,0
21,21,21,17,21,0
1,1,0,1,1,0
11,11,0,11,11,0
8,8,0,8,8,0
0,0,0,0,0,0
0,0,0,0,0,0
8,8,0,8,8,0
5,5,5,1,5,0
0,0,0,0,0,0
0,0,0,0,0,0
13,13,13,10,13,0
0,0,0,0,0,0
4,4,4,0,4,0
4,4,4,4,4,0
2,2,2,2,2,0
11,11,11,8,11,0
43,43,11,40,43,0
4,4,4,4,4,0
1,1,0,1,1,0
1,1,0,1,1,0
1,1,0,1,1,0
10,10,10,7,10,0
3,3,3,0,3,0
13,13,13,13,13,0
9,9,9,4,9,0
2,2,2,0,2,0
13,13,13,9,13,0
17,17,17,13,17,0
11,11,10,8,11,0
7,7,0,7,7,0
0,0,0,0,0,0
9,9,9,5,9,0
1,1,0,1,1,0
9,9,1,8,9,0
2,2,2,2,2,0
11,11,11,6,11,0
30,30,1,30,30,0
2,2,2,2,2,0
12,12,12,8,12,0
1,1,1,1,1,0
1,1,0,1,1,0
18,18,0,18,18,0
27,27,0,27,27,0
41,41,0,41,41,0
0,0,0,0,0,0
7,7,7,4,7,0
35,35,1,34,35,0
27,27,0,27,27,0
7,7,2,7,7,0
14,14,14,5,14,0
12,12,12,9,12,0
19,19,13,15,19,0
0,0,0,0,0,0
5,5,5,1,5,0
7,7,0,7,7,0
9,9,9,5,9,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
14,14,14,11,14,0
0,0,0,0,0,0
8,8,8,4,8,0
8,8,0,8,8,0
0,0,0,0,0,0
0,0,0,0,0,0
5,5,5,1,5,0
11,11,11,7,11,0
24,24,24,18,24,0
15,15,15,15,15,0
1,1,0,1,1,0
3,3,3,0,3,0
15,15,8,15,15,0
13,13,13,10,13,0
0,0,0,0,0,0
51,51,23,41,51,0
18,18,18,18,18,0
2,2,2,2,2,0
16,16,0,16,16,0
5,5,5,1,5,0
0,0,0,0,0,0
5,5,0,5,5,0
0,0,0,0,0,0
10,10,0,10,10,0
0,0,0,0,0,0
4,4,4,1,4,0
10,10,0,10,10,0
1,1,1,0,1,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,0,1,0
2,2,2,0,2,0
0,0,0,0,0,0
13,13,5,12,13,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,2,0,2,2,0
1,1,0,1,1,0
5,5,0,5,5,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,0,1,0
5,5,5,1,5,0
0,0,0,0,0,0
9,9,0,9,9,0
0,0,0,0,0,0
0,0,0,0,0,0
0,0,0,0,0,0
2,2,2,2,2,0
17,17,17,13,17,0
8,8,8,4,8,0
4,4,4,4,4,0
0,0,0,0,0,0
0,0,0,0,0,0
1,1,1,1,1,0
14,14,14,6,14,0
9,9,9,9,9,0
19,19,19,15,19,0
1,1,1,1,1,0
25,25,0,25,25,0
0,0,0,0,0,0
6,6,0,6,6,0
18,18,0,18,18,0
13,13,0,13,13,0
17,17,0,17,17,0
10,10,0,10,10,0
7,7,7,4,7,0
0,0,0,0,0,0
0,0,0,0,0,0
4,4,0,4,4,0
20,20,0,20,20,0
13,13,0,13,13,0
0,0,0,0,0,0
0,0,0,0,0,0
33,33,4,29,33,0
9,9,9,5,9,0
0,0,0,0,0,0
0,0,0,0,0,0
23,23,20,19,23,0
28,28,9,24,28,0
6,6,1,6,6,0
7,7,4,3,7,0
1,1,0,1,1,0
22,22,7,22,22,0
8,8,8,4,8,0
8,8,0,8,8,0
2,2,2,1,2,0
22,22,6,19,22,0
14,14,9,10,14,0
6,6,2,6,6,0
6,6,6,3,6,0
25,25,25,17,25,0
4,4,4,4,4,0
23,23,19,20,23,0
30,30,0,30,30,0
14,14,0,14,14,0
40,40,2,38,40,0
45,45,6,39,45,0
17,17,11,17,17,0
0,0,0,0,0,0
16,16,16,12,16,0
12,12,4,12,12,0
0,0,0,0,0,0
1,1,0,1,1,0
34,34,0,34,34,0
0,0,0,0,0,0
0,0,0,0,0,0
